state,public_use_microdata_area,WhiteNH,BlackNH,AminNH,AsianNH,OtherNH,TwoMore,Hispan,WhiteHispan,BlackHispan,HispanOther
06,03707,8659,4551,432,6085,439,846,131379,74372,191,56816
06,03708,50978,2344,106,10359,980,2538,65281,33392,231,31658
06,07315,90953,7300,380,24463,531,6298,45018,28498,535,15985
06,07314,94908,9689,215,14220,490,7897,32585,19156,473,12956
06,07317,50811,20336,322,26166,285,6278,70724,41239,945,28540
06,07305,59903,2201,637,12084,208,5243,46425,28672,323,17430
06,07303,47528,3452,379,5627,213,4111,53935,38356,151,15428
06,07901,117794,2137,431,8277,354,5611,38900,23418,247,15235
06,07902,75165,2339,735,1977,192,3230,25375,16920,142,8313
06,11300,100258,5137,768,32165,615,10490,69341,45041,557,23743
06,08104,61459,2151,179,36848,619,6363,22114,10045,83,11986
06,08101,32564,4153,139,70388,1252,5439,31263,11917,313,19033
06,08502,45295,1938,440,77048,520,6982,27259,10427,135,16697
06,00108,25274,5528,372,81124,196,5441,31899,7405,77,24417
06,00107,25730,14002,446,48450,389,7422,62517,22246,586,39685
06,00101,74690,10189,287,32297,718,9024,15941,6489,225,9227
06,00110,113598,4937,579,75446,512,10052,35011,17995,259,16757
06,08504,15582,3604,206,97687,101,4836,20176,6360,54,13762
06,00109,41141,6444,740,122737,692,6447,28678,7469,131,21078
